subject_id,name,Rank
0,Maths,0
1,Number,0
2,BIDMAS,0
3,Upper and Lower Bounds,1
4,Calculator Use,0
5,Decimals,0
6,"Factors, Multiples and Primes",0
7,"Fractions, Decimals and Percentage Equivalence",0
8,Fractions,0
9,"Indices, Powers and Roots",1
10,Basic Money,0
11,Negative Numbers,1
12,Percentages,1
13,Proportion,1
14,Ratio,1
15,Standard Form,1
16,Surds,1
17,Algebra,1
18,Expanding Single Brackets,1
19,Expanding Double Brackets,1
20,Factorising into a Single Bracket,1
21,Factorising into a Double Bracket,1
22,Straight Line Graphs,1
23,Quadratic Graphs,1
24,Graphs of Trigonometric Functions,1
25,Cubics and Reciprocals,1
26,Real Life Graphs,1
27,Inequalities,1
28,Rearranging Formula and Equations,1
29,Sequences,2
30,Writing and Simplifying Expressions,1
31,Simultaneous Equations,1
32,Linear Equations,1
33,Quadratic Equations,1
34,Solving Other Powers of x,1
35,Substitution into Formula,1
36,Transformation of Functions,2
37,Trial and Improvement and Iterative Methods,2
38,Writing Expressions,1
39,Geometry and Measure,0
40,3D Pythagoras,1
41,"Types, Naming and Estimating",0
42,Angles,0
43,Area of Simple Shapes,0
44,Bearings,1
45,Circles,2
46,Circle Theorems,2
47,Compound Measures,1
48,Congruency in Triangles,1
49,Co-ordinates,0
50,"Construction, Loci and Scale Drawing",1
51,Properties of Polygons,1
52,Nets,1
53,Perimeter,0
54,Plans and Elevations,1
55,Properties of Quadrilaterals,0
56,2D Pythagoras,1
57,Length Scale Factors in Similar Shapes,1
58,Symmetry,1
59,Reflection,1
60,Rotation,1
61,Enlargement,1
62,Translation and Vectors,2
63,Combined Transformations,2
64,Basic Trigonometry,1
65,Units of Measurement,0
66,Basic Vectors,2
67,Volume and Surface Area,0
68,Data and Statistics,2
69,"Averages (mean, median, mode) from a List of Data",1
70,Averages and Range from Grouped Data,1
71,Box Plots,2
72,Cumulative Frequency Diagram,2
73,Block Graphs and Bar Charts,1
74,Histogram,2
75,Pictogram,0
76,Pie Chart,1
77,Experimental Probability and Relative Frequency,1
78,Probability of Single Events,1
79,Tree Diagrams with Dependent Events,2
80,Data Collection,2
81,Sampling and Bias,2
82,Scatter Diagram,1
83,Stem and Leaf Diagram,1
84,Time Series and Line Graphs,1
85,Two Way Tables,1
86,Advanced Pure,2
87,Factor Theorem,2
88,Differentiation,2
89,Exponentials and Logarithms,1
90,Integration,2
91,Matrices,2
92,Modulus Function,2
93,Sequences and Series,2
94,Advanced Trigonometry,2
95,Advanced Vectors,2
96,Rounding and Estimating,0
97,Advanced Algebra,2
98,Basic Arithmetic,0
99,Functions,1
100,Advanced Mechanics,2
101,Advanced Statistics,2
102,Expanding Brackets,1
103,Factorising,1
104,Solving Equations,1
105,Formula,1
106,Writing Formula,1
107,Other Graphs,1
108,Equation of a Circle,1
109,Graphs of Exponentials and Other Powers of x,1
110,Transformations of functions in the form y =,2
111,Transformations of functions in the form f(x),2
112,Inequalities on Number Lines,1
113,Solving Linear Inequalities,1
114,Graphing Linear Inequalities (Shading Regions),1
115,Solving Quadratic Inequalities,1
116,Linear Sequences (nth term),2
117,Quadratic Sequences,2
118,Other Sequences,2
119,2D Names and Properties of Shapes,0
120,Properties of Triangles,1
121,3D Shapes,2
122,Names and Properties of 3D Shapes,2
123,Perimeter and Area,0
124,Compound Area,1
125,Measuring Angles,0
126,"Basic Angle Facts (straight line, opposite, around a point, etc)",0
127,Angle Facts with Parallel Lines,0
128,Angles in Polygons,1
129,Parts of a Circle,1
130,Circumference,1
131,Area of a Circle,1
132,Sectors of a Circle,1
133,Surface Area of Prisms,1
134,Volume of Prisms,1
135,Construct Angle,1
136,Construct Triangle,1
137,Construct Angle and Line Bisectors,1
138,Loci Scenarios,1
